WKT;codvia;lf_add;lt_add;rf_add;rt_add;tipcalle;nomcalle;longitud;tipnomcall
"LINESTRING (724071.653 4375016.29399999976,724062.389 4375026.33899999969)";81185;0;0;8;8;C;CORA RAGA;0.00000;C. CORA RAGA
"LINESTRING (724062.389 4375026.33899999969,724050.562 4375036.778)";81185;0;0;10;10;C;CORA RAGA;0.00000;C. CORA RAGA
"LINESTRING (724071.422 4374884.098,724101.117 4374908.951,724104.791 4374927.30599999987,724082.135 4374951.474)";81350;1;1;2;10;C;ESCRIPTOR BONO I BARBER;0.00000;C. ESCRIPTOR BONO I BARBER
"LINESTRING (726125.489 4374606.758,726076.958 4374651.17)";80600;0;0;12;13;PL;RAMON CONTRERAS MONGRELL;0.00000;PL. RAMON CONTRERAS MONGRELL
"LINESTRING (726056.234 4374666.14599999972,726068.486 4374676.30399999954,726078.348 4374677.411,726089.513 4374675.758)";53970;17;21;0;0;SENDA;ORRIOLS;0.00000;SENDA. ORRIOLS
"LINESTRING (726076.958 4374651.17,726056.234 4374666.14599999972)";80600;0;0;0;0;PL;RAMON CONTRERAS MONGRELL;0.00000;PL. RAMON CONTRERAS MONGRELL
"LINESTRING (725439.526 4372717.10699999984,725419.526 4372735.60699999984)";47820;8;11;0;0;PL;MERCADO;27.24427;PL. MERCADO
"LINESTRING (726020.611 4374499.27599999961,725844.215 4374659.69699999969,725837.321 4374664.596,725833.02 4374666.405,725828.945 4374666.858)";61410;0;0;0;0;AV;PRIMADO REIG;0.00000;AV. PRIMADO REIG
"LINESTRING (726028.694 4374508.07799999975,726011.21 4374517.73199999984,725969.362 4374554.13,725851.622 4374663.592,725846.821 4374667.126,725841.389 4374671.423,725834.372 4374673.911,725830.75 4374674.815)";61410;0;0;0;0;AV;PRIMADO REIG;0.00000;AV. PRIMADO REIG
"LINESTRING (727395.487 4373268.695,727450.795 4373222.881)";61410;189;189;0;0;AV;PRIMADO REIG;0.00000;AV. PRIMADO REIG
"LINESTRING (727063.13 4373570.85,727104.644 4373533.337)";61410;157;157;0;0;AV;PRIMADO REIG;0.00000;AV. PRIMADO REIG
"LINESTRING (727095.805 4373524.50499999989,727104.644 4373533.337)";61410;0;0;0;0;AV;PRIMADO REIG;0.00000;AV. PRIMADO REIG
"LINESTRING (727328.611 4373313.11799999978,727324.657 4373333.803)";61410;0;0;0;0;AV;PRIMADO REIG;0.00000;AV. PRIMADO REIG
"LINESTRING (727338.198 4373322.17499999981,727324.657 4373333.803)";61410;0;0;0;0;AV;PRIMADO REIG;0.00000;AV. PRIMADO REIG
"LINESTRING (725887.198 4374229.06599999964,725850.557 4374237.51499999966,725856.194 4374263.062,725892.433 4374254.815)";43230;5;11;0;0;C;LUZ CASANOVA;0.00000;C. LUZ CASANOVA
"LINESTRING (725887.198 4374229.06599999964,725892.433 4374254.815)";43230;0;0;8;8;C;LUZ CASANOVA;0.00000;C. LUZ CASANOVA
"LINESTRING (723708.8 4371544.592,723707.467 4371538.54899999965,723701.636 4371540.204)";81118;0;0;0;0;C;FRANCISCO ALEGRE;0.00000;C. FRANCISCO ALEGRE
"LINESTRING (723701.636 4371540.204,723698.683 4371524.31699999981)";81118;7;9;12;14;C;FRANCISCO ALEGRE;0.00000;C. FRANCISCO ALEGRE
"LINESTRING (723698.683 4371524.31699999981,723697.094 4371515.24)";81118;11;11;16;16;C;FRANCISCO ALEGRE;0.00000;C. FRANCISCO ALEGRE
"LINESTRING (723695.049 4371503.665,723692.324 4371488.006,723706.703 4371478.62299999967)";81118;0;0;20;20;C;FRANCISCO ALEGRE;0.00000;C. FRANCISCO ALEGRE
"LINESTRING (723791.579 4371578.122,723768.422 4371582.52599999961,723772.738 4371602.497)";81107;3;3;10;10;C;ARTURO FOSAR;0.00000;C. ARTURO FOSAR
"LINESTRING (723772.738 4371602.497,723722.641 4371612.622)";81108;0;0;0;0;C;GUILLEM DESPUIG;0.00000;C. GUILLEM DESPUIG
"LINESTRING (723607.374 4371506.949,723610.782 4371499.50399999972,723613.506 4371496.639,723616.516 4371495.064,723621.533 4371493.20199999958)";69810;0;0;0;0;C;SANTA CRUZ DE TENERIFE;0.00000;C. SANTA CRUZ DE TENERIFE
