"","comunidad","ciudad","calles_fuera","total_pueblos","relativo_fuera","calles_dentro","t","relativo_dentro","dif"
"1","Andalucía","Barcelona",9,772,1.16580310880829,56,772,7.25388601036269,-6.0880829015544
"2","Andalucía","Bilbao",2,772,0.259067357512953,34,772,4.40414507772021,-4.14507772020725
"3","Andalucía","Madrid",132,772,17.0984455958549,113,772,14.6373056994819,2.46113989637306
"4","Andalucía","Sevilla",107,772,13.860103626943,386,772,50,-36.139896373057
"5","Andalucía","Valencia",17,772,2.2020725388601,68,772,8.80829015544041,-6.60621761658031
"6","Aragón","Barcelona",15,732,2.04918032786885,12,732,1.63934426229508,0.40983606557377
"7","Aragón","Bilbao",0,0,0,3,732,0.409836065573771,-0.409836065573771
"8","Aragón","Madrid",69,732,9.42622950819672,29,732,3.96174863387978,5.46448087431694
"9","Aragón","Sevilla",14,732,1.91256830601093,7,732,0.956284153005465,0.956284153005465
"10","Aragón","Valencia",24,732,3.27868852459016,35,732,4.78142076502732,-1.50273224043716
"11","Asturias, Principado de","Barcelona",0,0,0,0,79,0,0
"12","Asturias, Principado de","Bilbao",0,0,0,0,79,0,0
"13","Asturias, Principado de","Madrid",15,79,18.9873417721519,4,79,5.06329113924051,13.9240506329114
"14","Asturias, Principado de","Sevilla",3,79,3.79746835443038,0,79,0,3.79746835443038
"15","Asturias, Principado de","Valencia",0,0,0,2,79,2.53164556962025,-2.53164556962025
"16","Balears, Illes","Barcelona",13,67,19.4029850746269,9,67,13.4328358208955,5.97014925373134
"17","Balears, Illes","Bilbao",0,0,0,3,67,4.47761194029851,-4.47761194029851
"18","Balears, Illes","Madrid",2,67,2.98507462686567,9,67,13.4328358208955,-10.4477611940299
"19","Balears, Illes","Sevilla",2,67,2.98507462686567,5,67,7.46268656716418,-4.47761194029851
"20","Balears, Illes","Valencia",1,67,1.49253731343284,10,67,14.9253731343284,-13.4328358208955
"21","Canarias","Barcelona",0,0,0,10,89,11.2359550561798,-11.2359550561798
"22","Canarias","Bilbao",0,0,0,5,89,5.61797752808989,-5.61797752808989
"23","Canarias","Madrid",10,89,11.2359550561798,12,89,13.4831460674157,-2.24719101123596
"24","Canarias","Valencia",2,89,2.24719101123596,13,89,14.6067415730337,-12.3595505617978
"25","Cantabria","Barcelona",1,104,0.961538461538462,1,104,0.961538461538462,0
"26","Cantabria","Bilbao",2,104,1.92307692307692,2,104,1.92307692307692,0
"27","Cantabria","Madrid",20,104,19.2307692307692,3,104,2.88461538461538,16.3461538461539
"28","Cantabria","Sevilla",2,104,1.92307692307692,1,104,0.961538461538462,0.961538461538462
"29","Cantabria","Valencia",4,104,3.84615384615385,1,104,0.961538461538462,2.88461538461538
"30","Castilla-La Mancha","Barcelona",15,922,1.62689804772234,27,922,2.92841648590022,-1.30151843817787
"31","Castilla-La Mancha","Bilbao",4,922,0.433839479392625,8,922,0.867678958785249,-0.433839479392625
"32","Castilla-La Mancha","Madrid",140,922,15.1843817787419,147,922,15.943600867679,-0.759219088937092
"33","Castilla-La Mancha","Sevilla",18,922,1.95227765726681,45,922,4.88069414316703,-2.92841648590022
"34","Castilla-La Mancha","Valencia",14,922,1.51843817787419,88,922,9.54446854663774,-8.02603036876356
"35","Castilla y León","Barcelona",19,2256,0.842198581560284,21,2256,0.930851063829787,-0.0886524822695035
"36","Castilla y León","Bilbao",7,2256,0.310283687943262,20,2256,0.886524822695036,-0.576241134751773
"37","Castilla y León","Madrid",228,2256,10.1063829787234,111,2256,4.92021276595745,5.18617021276596
"38","Castilla y León","Sevilla",40,2256,1.77304964539007,22,2256,0.975177304964539,0.797872340425532
"39","Castilla y León","Valencia",15,2256,0.664893617021277,32,2256,1.41843971631206,-0.75354609929078
"40","Cataluña","Barcelona",167,951,17.5604626708728,291,951,30.5993690851735,-13.0389064143007
"41","Cataluña","Bilbao",1,951,0.10515247108307,18,951,1.89274447949527,-1.7875920084122
"42","Cataluña","Madrid",35,951,3.68033648790747,26,951,2.73396424815983,0.946372239747634
"43","Cataluña","Sevilla",6,951,0.630914826498423,27,951,2.8391167192429,-2.20820189274448
"44","Cataluña","Valencia",10,951,1.0515247108307,81,951,8.51735015772871,-7.465825446898
"45","Ceuta","Barcelona",2,1,200,0,1,0,200
"46","Ceuta","Bilbao",0,0,0,0,1,0,0
"47","Ceuta","Madrid",1,1,100,0,1,0,100
"48","Ceuta","Sevilla",1,1,100,1,1,100,0
"49","Ceuta","Valencia",0,0,0,0,1,0,0
"50","Comunitat Valenciana","Barcelona",19,543,3.49907918968692,54,543,9.94475138121547,-6.44567219152855
"51","Comunitat Valenciana","Bilbao",4,543,0.736648250460405,21,543,3.86740331491713,-3.13075506445672
"52","Comunitat Valenciana","Madrid",38,543,6.99815837937385,66,543,12.1546961325967,-5.15653775322284
"53","Comunitat Valenciana","Sevilla",13,543,2.39410681399632,45,543,8.28729281767956,-5.89318600368324
"54","Comunitat Valenciana","Valencia",159,543,29.2817679558011,284,543,52.3020257826888,-23.0202578268877
"55","Extremadura","Barcelona",3,389,0.77120822622108,3,389,0.77120822622108,0
"56","Extremadura","Bilbao",2,389,0.51413881748072,1,389,0.25706940874036,0.25706940874036
"57","Extremadura","Madrid",51,389,13.1105398457584,26,389,6.68380462724936,6.426735218509
"58","Extremadura","Sevilla",23,389,5.91259640102828,49,389,12.5964010282776,-6.68380462724936
"59","Extremadura","Valencia",6,389,1.54241645244216,18,389,4.62724935732648,-3.08483290488432
"60","Galicia","Barcelona",8,317,2.52365930599369,6,317,1.89274447949527,0.630914826498423
"61","Galicia","Bilbao",2,317,0.630914826498423,1,317,0.315457413249211,0.315457413249211
"62","Galicia","Madrid",33,317,10.410094637224,10,317,3.15457413249211,7.25552050473186
"63","Galicia","Sevilla",8,317,2.52365930599369,3,317,0.946372239747634,1.57728706624606
"64","Galicia","Valencia",1,317,0.315457413249211,4,317,1.26182965299685,-0.946372239747634
"65","Madrid, Comunidad de","Barcelona",1,181,0.552486187845304,15,181,8.28729281767956,-7.73480662983425
"66","Madrid, Comunidad de","Bilbao",0,0,0,14,181,7.73480662983425,-7.73480662983425
"67","Madrid, Comunidad de","Madrid",82,181,45.3038674033149,71,181,39.2265193370166,6.07734806629834
"68","Madrid, Comunidad de","Sevilla",9,181,4.97237569060773,38,181,20.9944751381215,-16.0220994475138
"69","Madrid, Comunidad de","Valencia",0,0,0,23,181,12.707182320442,-12.707182320442
"70","Melilla","Barcelona",1,1,100,0,1,0,100
"71","Melilla","Bilbao",0,0,0,1,1,100,-100
"72","Melilla","Madrid",1,1,100,2,1,200,-100
"73","Melilla","Sevilla",1,1,100,0,1,0,100
"74","Melilla","Valencia",0,0,0,1,1,100,-100
"75","Murcia, Región de","Barcelona",4,46,8.69565217391304,16,46,34.7826086956522,-26.0869565217391
"76","Murcia, Región de","Bilbao",0,0,0,3,46,6.52173913043478,-6.52173913043478
"77","Murcia, Región de","Madrid",15,46,32.6086956521739,20,46,43.4782608695652,-10.8695652173913
"78","Murcia, Región de","Valencia",12,46,26.0869565217391,18,46,39.1304347826087,-13.0434782608696
"79","Navarra, Comunidad Foral de","Barcelona",1,274,0.364963503649635,1,274,0.364963503649635,0
"80","Navarra, Comunidad Foral de","Bilbao",3,274,1.09489051094891,2,274,0.72992700729927,0.364963503649635
"81","Navarra, Comunidad Foral de","Madrid",15,274,5.47445255474453,7,274,2.55474452554745,2.91970802919708
"82","Navarra, Comunidad Foral de","Sevilla",3,274,1.09489051094891,0,274,0,1.09489051094891
"83","Navarra, Comunidad Foral de","Valencia",3,274,1.09489051094891,0,274,0,1.09489051094891
"84","País Vasco","Barcelona",7,251,2.78884462151394,1,251,0.398406374501992,2.39043824701195
"85","País Vasco","Bilbao",17,251,6.77290836653386,5,251,1.99203187250996,4.7808764940239
"86","País Vasco","Madrid",34,251,13.5458167330677,4,251,1.59362549800797,11.9521912350598
"87","País Vasco","Sevilla",5,251,1.99203187250996,0,251,0,1.99203187250996
"88","País Vasco","Valencia",2,251,0.796812749003984,2,251,0.796812749003984,0
"89","Rioja, La","Barcelona",3,174,1.72413793103448,0,174,0,1.72413793103448
"90","Rioja, La","Bilbao",3,174,1.72413793103448,0,174,0,1.72413793103448
"91","Rioja, La","Madrid",37,174,21.264367816092,8,174,4.59770114942529,16.6666666666667
"92","Rioja, La","Sevilla",6,174,3.44827586206897,3,174,1.72413793103448,1.72413793103448
"93","Rioja, La","Valencia",0,0,0,2,174,1.14942528735632,-1.14942528735632
