"","ciudad","TVIA","origen","Latitud","longitud","comunidad"
"1","Barcelona","CALLE","Adra","36,74807","-3,022522","Andalucía"
"2","Barcelona","CALLE","Albox","37,38979","-2,147483","Andalucía"
"3","Barcelona","CALLE","Alhama de Almería","36,95742","-2,570075","Andalucía"
"4","Barcelona","AVDA ","Cuevas del Almanzora","37,29709","-1,881476","Andalucía"
"5","Barcelona","CALLE","Ejido, El","36,77506","-2,812738","Andalucía"
"6","Barcelona","CALLE","Enix","36,87704","-2,602107","Andalucía"
"7","Barcelona","CALLE","Mojonera, La","36,75254","-2,688159","Andalucía"
"8","Barcelona","CALLE","Olula del Río","37,35212","-2,298121","Andalucía"
"9","Barcelona","CALLE","Roquetas de Mar","36,76427","-2,614935","Andalucía"
"10","Barcelona","CALLE","Tíjola","37,34551","-2,439434","Andalucía"
"11","Barcelona","CALLE","Algeciras","36,12978","-5,447698","Andalucía"
"12","Barcelona","CALLE","Arcos de la Frontera","36,75078","-5,812395","Andalucía"
"13","Barcelona","CALLE","Cádiz","36,52969","-6,292657","Andalucía"
"14","Barcelona","CALLE","Chiclana de la Frontera","36,41915","-6,149412","Andalucía"
"15","Barcelona","CALLE","Línea de la Concepción, La","36,16118","-5,348256","Andalucía"
"16","Barcelona","CALLE","Rota","36,61699","-6,358202","Andalucía"
"17","Barcelona","CALLE","Villamartín","36,86132","-5,641834","Andalucía"
"18","Barcelona","CALLE","Fuente Palmera","37,70319","-5,103904","Andalucía"
"19","Barcelona","CALLE","Villa del Río","37,98227","-4,290878","Andalucía"
"20","Barcelona","CALLE","Alhendín","37,1076","-3,645584","Andalucía"
"21","Barcelona","CALLE","Arenas del Rey","36,95771","-3,894323","Andalucía"
"22","Barcelona","CALLE","Armilla","37,1401","-3,617981","Andalucía"
"23","Barcelona","CALLE","Churriana de la Vega","37,14777","-3,64595","Andalucía"
"24","Barcelona","CALLE","Cúllar Vega","37,15327","-3,670436","Andalucía"
"25","Barcelona","CALLE","Dúrcal","36,98793","-3,56616","Andalucía"
"26","Barcelona","CALLE","Maracena","37,20568","-3,636805","Andalucía"
"27","Barcelona","CALLE","Moclín","37,34158","-3,786422","Andalucía"
"28","Barcelona","CALLE","Monachil","37,13209","-3,539469","Andalucía"
"29","Barcelona","CALLE","Moraleda de Zafayona","37,16977","-3,965147","Andalucía"
"30","Barcelona","CALLE","Pulianas","37,22264","-3,608163","Andalucía"
"31","Barcelona","CALLE","Zubia, La","37,12061","-3,584668","Andalucía"
"32","Barcelona","CALLE","Ayamonte","37,21466","-7,409819","Andalucía"
"33","Barcelona","CALLE","Calañas","37,65482","-6,878683","Andalucía"
"34","Barcelona","CALLE","Huelva","37,2571","-6,949555","Andalucía"
"35","Barcelona","CALLE","Valverde del Camino","37,57339","-6,753376","Andalucía"
"36","Barcelona","AVDA ","Carolina, La","38,27468","-3,615412","Andalucía"
"37","Barcelona","AVDA ","Jaén","37,76574","-3,789518","Andalucía"
"38","Barcelona","CALLE","Jódar","37,84398","-3,352545","Andalucía"
"39","Barcelona","CALLE","Martos","37,72278","-3,966259","Andalucía"
"40","Barcelona","CALLE","Mengíbar","37,96833","-3,808806","Andalucía"
"41","Barcelona","CALLE","Pozo Alcón","37,70512","-2,93436","Andalucía"
"42","Barcelona","CALLE","Benahavís","36,52446","-5,046305","Andalucía"
"43","Barcelona","AVDA ","Benalmádena","36,59523","-4,573368","Andalucía"
"44","Barcelona","CALLE","Estepona","36,42477","-5,144903","Andalucía"
"45","Barcelona","PLAZA","Ciudad Rodrigo","40,59715","-6,522775","Castilla y León"
"46","Barcelona","RONDA","Forfoleda","41,09701","-5,749491","Castilla y León"
"47","Barcelona","PLAZA","Salamanca","40,96497","-5,663047","Castilla y León"
"48","Barcelona","CALLE","Sancti-Spíritus","40,70518","-6,400911","Castilla y León"
"49","Barcelona","CALLE","Villares de la Reina","41,00651","-5,647612","Castilla y León"
"50","Barcelona","CALLE","Cuéllar","41,40251","-4,316654","Castilla y León"
"51","Barcelona","CALLE","Cigales","41,75821","-4,699579","Castilla y León"
"52","Barcelona","CALLE","Tordesillas","41,50165","-4,999127","Castilla y León"
"53","Barcelona","CMNO ","Tudela de Duero","41,58638","-4,581106","Castilla y León"
"54","Barcelona","CALLE","Valladolid","41,65295","-4,728388","Castilla y León"
"55","Barcelona","AVDA ","Viana de Cega","41,52876","-4,752031","Castilla y León"
"56","Barcelona","CALLE","Zamora","41,50368","-5,743778","Castilla y León"
"57","Barcelona","C    ","Abrera","41,51609","1,902142","Cataluña"
"58","Barcelona","C    ","Aiguafreda","41,76884","2,250261","Cataluña"
"59","Barcelona","AV   ","Alella","41,49395","2,295461","Cataluña"
"60","Barcelona","C    ","Ametlla del Vallès, L'","41,66976","2,261185","Cataluña"
"61","Barcelona","C    ","Arenys de Mar","41,57944","2,55148","Cataluña"
"62","Barcelona","C    ","Artés","41,79839","1,954726","Cataluña"
"63","Barcelona","C    ","Avinyó","41,86209","1,971941","Cataluña"
"64","Barcelona","CTRA ","Avinyonet del Penedès","41,3606","1,776485","Cataluña"
"65","Barcelona","C/   ","Badalona","41,45014","2,24742","Cataluña"
"66","Barcelona","C    ","Balenyà","41,84387","2,251218","Cataluña"
"67","Barcelona","C    ","Balsareny","41,86267","1,873386","Cataluña"
"68","Barcelona","C    ","Barberà del Vallès","41,51596","2,124723","Cataluña"
"69","Barcelona","CTRA ","Barberà del Vallès","41,51596","2,124723","Cataluña"
"70","Barcelona","MOLL ","Barcelona","41,38792","2,169919","Cataluña"
"71","Barcelona","C    ","Begues","41,33101","1,921987","Cataluña"
