"","ciudad","TVIA","NVIA","Latitud","longitud","NOMBRE"
"1","Barcelona","C    ","ALCOLEA                                           ","36,97449","-2,961038","Andalucía"
"2","Barcelona","C    ","SANTA FE                                          ","37,18936","-3,719076","Andalucía"
"3","Barcelona","C    ","HUELVA                                            ","37,2571","-6,949555","Andalucía"
"4","Barcelona","C    ","CASTELLAR                                         ","38,25621","-3,131925","Andalucía"
"5","Barcelona","C    ","QUESADA                                           ","37,8451","-3,067591","Andalucía"
"6","Barcelona","C    ","SANTA ELENA                                       ","38,33911","-3,539236","Andalucía"
"7","Barcelona","PTGE ","TORRES                                            ","37,78608","-3,510031","Andalucía"
"8","Barcelona","C    ","ANTEQUERA                                         ","37,01938","-4,562885","Andalucía"
"9","Barcelona","C    ","PALENCIA                                          ","42,01246","-4,531175","Castilla y León"
"10","Barcelona","TRRNT","PERALES                                           ","42,19413","-4,580409","Castilla y León"
"11","Barcelona","C    ","BOADA                                             ","40,81601","-6,305747","Castilla y León"
"12","Barcelona","C    ","CASAFRANCA                                        ","40,59192","-5,761326","Castilla y León"
"13","Barcelona","C    ","SALAMANCA                                         ","40,96497","-5,663047","Castilla y León"
"14","Barcelona","C    ","VALERO                                            ","40,53548","-5,942448","Castilla y León"
"15","Barcelona","C    ","SEGOVIA                                           ","40,94943","-4,119209","Castilla y León"
"16","Barcelona","C    ","SORIA                                             ","41,7636","-2,464921","Castilla y León"
"17","Barcelona","C    ","VALLADOLID                                        ","41,65295","-4,728388","Castilla y León"
"18","Barcelona","C    ","JAMBRINA                                          ","41,39359","-5,66548","Castilla y León"
"19","Barcelona","C    ","MALVA                                             ","41,65389","-5,488196","Castilla y León"
"20","Barcelona","C    ","PORTO                                             ","42,16727","-6,899445","Castilla y León"
"21","Barcelona","C    ","TAPIOLES                                          ","41,85743","-5,496512","Castilla y León"
"22","Barcelona","TRRNT","TAPIOLES                                          ","41,85743","-5,496512","Castilla y León"
"23","Barcelona","C    ","ZAMORA                                            ","41,50368","-5,743778","Castilla y León"
"24","Barcelona","C    ","AIGUAFREDA                                        ","41,76884","2,250261","Cataluña"
"25","Barcelona","C    ","ALELLA                                            ","41,49395","2,295461","Cataluña"
"26","Barcelona","C    ","ALPENS                                            ","42,1201","2,101363","Cataluña"
"27","Barcelona","C    ","ARGENTONA                                         ","41,55555","2,400564","Cataluña"
"28","Barcelona","C    ","BADALONA                                          ","41,45014","2,24742","Cataluña"
"29","Barcelona","C    ","BALSARENY                                         ","41,86267","1,873386","Cataluña"
"30","Barcelona","MOLL ","BARCELONA                                         ","41,38792","2,169919","Cataluña"
"31","Barcelona","C    ","BELLPRAT                                          ","41,51725","1,433458","Cataluña"
"32","Barcelona","C    ","BERGA                                             ","42,10144","1,8438","Cataluña"
"33","Barcelona","C    ","CALAF                                             ","41,73342","1,513498","Cataluña"
