C;26070;762;Amurrio;Amurrio;PUEBLO-CIUDAD
C;25770;755;DOS DE ABRIL;DOS D'ABRIL  (1995), CARRER DEL;EVENTO
C;25950;760;DUQUE DE GAETA;DUC DE GAETA, CARRER DEL;TITULO
C;26040;2265;ECONOMISTA GAY;ECONOMISTA GAY, CARRER DE L';CIENCIA
C;26070;762;EDETA;EDETA;
C;24300;716;DOCTOR J.J. DOMINE;DOCTOR JOSEP JUAN DÒMINE, CARRER DEL;CIENCIA
PL;24330;717;DOCTOR LANDETE;DOCTOR LANDETE, PLAÇA DEL;CIENCIA
C;24390;2394;DOCTOR MACHI;DOCTOR MACHI, CARRER DEL;CIENCIA
C;24420;719;DOCTOR MANUEL CANDELA;null;CIENCIA
C;24450;720;DOCTOR MARAÑON;DOCTOR MARAÑON, CARRER DEL;CIENCIA
C;24570;723;DOCTOR MONSERRAT;DOCTOR MONSERRAT, CARRER DEL;CIENCIA
C;24720;726;DOCTOR PESET CERVERA;DOCTOR PESET CERVERA, CARRER DEL;CIENCIA
C;25560;750;DON JUAN DE DIOS MONTAÑES;JUAN DE DIOS MONTAÑÉS, CARRER DE;PUEBLO-CIUDAD
C;23520;2462;PEDRAPIQUERS, DELS;null;PUEBLO-CIUDAD
C;23610;2457;TRAGINERS, DELS;TRAGINERS;LUGAR
C;23670;698;DENIA;DENIA, CARRER DE;
C;23850;704;DOCTOR ANDRES PIQUER;DOCTOR ANDREU PIQUER, CARRER DEL;LETRAS
C;23940;706;DOCTOR BLAY;DOCTOR BLAY, CARRER DEL;ARTE
C;24030;708;DOCTOR CONSTANTINO GOMEZ;DOCTOR CONSTANTÍ GOMEZ, CARRER DEL;CIENCIA
C;24210;713;DOCTOR GIL Y MORTE;DOCTOR GIL Y MORTE, CARRER DEL;CIENCIA
C;22350;674;CURA PALANCA;MOSSEN PALANCA, CARRER DE;RELIGION
ENTRD;22410;676;CHALET;XALET;
ENTRD;22470;678;CHATO PALOMA;CHATO PALOMA ENTRADA DEL;PUEBLO-CIUDAD
C;22530;680;CHELLA;CARRER DE CHELLA/ XELLA;LUGAR
C;22560;2334;CHERA;XERA;PUEBLO-CIUDAD
C;22590;681;CHESTE;XEST;LUGAR
C.V.;22680;684;CHIRIVELLA;XIRIVELLA;LUGAR
C;22890;689;DAMA DE ELCHE;DAMA D'ELX, CARRER DE LA;PUEBLO-CIUDAD
C;23010;692;DANZAS;DANSES, CARRER DE LES;RELIGION
ENTRD;23130;695;DAVITS;DAVIDS, ENTRADA DELS;
C;23230;2657;NINOT, DEL;NINOT, CARRER DEL;
C;21930;661;CUBA;CUBA, CARRER DE;LUGAR
C;22020;664;CUENCA;CONCA ;PUEBLO-CIUDAD
C;22050;2696;CUENCA TRAMOYERES;CUENCA TRAMOYERES, CARRER DE;PUEBLO-CIUDAD
C;22140;667;CUEVAS CAROLINAS;COVES CAROLINES, CARRER DE LES;LUGAR
C;22260;671;CURA BAU;MOSSEN BAU, CARRER DE;RELIGION
C;21120;635;COSTA Y BORRAS;COSTA I BORRÁS, CARRER DE;
PL;21300;641;CRESPINS;CRESPINS ;LUGAR
CTRA;21330;642;CRESPO;CRESPO, CARRETERA DE;
CTRA;21360;643;CRESTA;CRESTA, CARRETERA DE LA;
C;21420;645;CREVILLENTE;CREVILLENT;LUGAR
C;21450;646;CRISOSTOMO MARTINEZ;CRISÒSTOM MARTINEZ, CARRER DE;ARTE
C;21780;655;CRUZ;CREU, CARRER DE LA;
C;21900;660;ESTACIONETA, L';null;
C;20640;619;CONVENTO DE SAN FRANCISCO;CONVENT DE SANT FRANCESC, CARRER DEL;RELIGION
C;20700;621;COOPERATIVA DE SAN FERNANDO;COOPERATIVA DE SANT FERRAN, CARRER DE LA;RELIGION
C;20730;622;CORAZON DE JESUS;COR DE JESÙS;
C;20820;624;CORDELLATS;CORDELLATS, CARRER DELS;
C;20850;625;CORONA;CORONA, CARRER DE LA;
C;21000;628;CORREDORES;CORREDORS, CARRER DELS;
C;19920;595;CONDE DE ALTEA;COMTE D'ALTEA CARRER DEL;TITULO
C;20040;599;CONDE DE MELITO;COMTE DE MELITÓ CARRER DEL;TITULO
C;20070;600;CONDE DE MONTORNES;COMTE DE MONTORNÉS, CARRER DEL;TITULO
PL;20190;604;CONDE DEL REAL;COMTE DEL REAL;TITULO
C;20280;607;CONDE DE TORREFIEL;COMTE DE TORREFIEL CARRER DEL;MILITAR
C;20520;615;CONVENTO CARMELITAS;CONVENT DELS CARMELITES, CARRER DEL;PUEBLO-CIUDAD
C;20580;617;CONVENTO DE JESUS;CONVENT DE JESUS;
C;18870;564;CLERO;CLERO CARRER DEL;RELIGION
C;18960;566;COBERTIZO;RAFAL, CARRER// COBERTÍS (2.003) CARRER;
C;19110;572;COFRENTES;COFRENTS CARRER DE;LUGAR
ENTRD;19140;573;COJO SIURANA;COIX CIURANA ENTRADA DEL;PUEBLO-CIUDAD
ENTRD;19260;577;COLERO -EN CMNO POU APARISI 9-;COLERO ENTRADA DEL (CAMÍ POU D'APARISI 9;
C;19350;579;COLON;COLOM CARRER D'EN;
C;19470;583;COLL DE RATES;COLL DE RATES CARRER DEL;
C;19500;584;COMANDANTE FRANCO;COMANDANT FRANCO CARRER DEL;MILITAR
PL;19680;2814;COMUNION DE SAN JUAN;COMUNIÓ DE SANT JOAN, PLAÇA DE LA;RELIGION
C;19770;591;CONCHA ESPINA;null;LETRAS
C;17880;538;CEBRIAN MEZQUITA;CEBRIÁN MEZQUITA CARRER DE;ARTE
CMNO;17970;540;CEMENTERIO;CEMENTERI CAMÍ DEL;RELIGION
C;18060;544;CENIA;SÉNIA, CARRER;
PL;18090;545;PERE BORREGO I GALINDO (FALLER);null;PUEBLO-CIUDAD
C;18120;2312;CERAMISTA BAYARRI;CERAMISTA BAYARRI CARRER DEL;LUGAR
PL;18150;2578;CERAMISTA GIMENO;CERAMISTA GIMENO PLAÇA DEL;ARTE
C;18210;2448;CERAMISTA ROS;CERAMISTA ROS;ARTE
C;18720;3254;PROFESOR DOCTOR SEVERO OCHOA;PROFESSOR DOCTOR SEVERO OCHOA, CARRER DE;CIENCIA
C;18810;563;CLARIANO;CLARIANO CARRER DEL;PUEBLO-CIUDAD
C;17190;519;CASTELL DE POP;CASTELL DE POP CARRER DEL;
C;17250;518;CASTELLON;CASTELLÓ CARRER DE;
C;17310;521;CASTIELFABIB;CASTIELFABIB CARRER DE;LUGAR
C;17550;528;CATALANS;CATALANES//CATALANS;
C;17640;531;CATARROJA;CATARROJA;LUGAR
C;17700;533;CAUDETE;null;LUGAR
C;17850;2492;CAYUCO;CAYUCO CARRER DEL;
